,cif_id,largest_cavity_diameter
0,pcu+N382+E51,5.849936485290527
1,pcu+N394+E115,5.2584333419799805
2,pcu+N406+E51,7.452610015869141
3,pcu+N339+E51,6.8985772132873535
4,pcu+N533+E226,3.4775915145874023
5,pcu+N105+E226,6.77144193649292
6,pcu+N324+E226,3.580608367919922
7,pcu+N290+E51,6.081302642822266
8,pcu+N250+E115,5.20270299911499
9,pcu+N123+E212,5.947464942932129
10,pcu+N139+E51,4.458785533905029
11,pcu+N643+E226,5.091241836547852
12,pcu+N634+E108,5.014401435852051
13,pcu+N250+E226,3.467458724975586
14,pcu+N65+E108,5.2474565505981445
15,pcu+N135+E108,3.1229429244995117
16,pcu+N382+E226,4.605711460113525
17,pcu+N290+E226,3.455636978149414
18,pcu+N49+E108,4.007875442504883
19,pcu+N77+E51,5.844448089599609
20,pcu+N659+E115,5.4619340896606445
21,pcu+N182+E51,4.02645206451416
22,pcu+N382+E115,6.071169853210449
23,pcu+N65+E51,4.708728313446045
24,pcu+N475+E115,4.663130760192871
25,pcu+N567+E115,4.887741565704346
26,pcu+N265+E51,6.1999406814575195
27,pcu+N264+E51,5.630814552307129
28,pcu+N264+E115,4.979781150817871
29,pcu+N529+E115,6.579499244689941
30,pcu+N250+E51,4.745882034301758
31,pcu+N622+E51,5.156260967254639
32,pcu+N622+E115,6.088479995727539
33,pcu+N505+E226,3.391462564468384
34,pcu+N567+E51,4.994980335235596
35,pcu+N568+E226,3.8508167266845703
36,pcu+N144+E67,6.219784259796143
37,pcu+N65+E115,4.7779693603515625
38,pcu+N273+E226,5.689078330993652
39,pcu+N49+E226,2.1569480895996094
40,pcu+N475+E226,5.2812323570251465
41,pcu+N634+E226,2.0893959999084473
42,pcu+N406+E226,4.65468692779541
43,pcu+N144+E51,5.58774995803833
44,pcu+N324+E115,5.195103645324707
45,pcu+N334+E51,5.694144248962402
46,pcu+N152+E226,4.6985955238342285
47,pcu+N54+E51,5.456023216247559
48,pcu+N634+E89,3.4100394248962402
49,pcu+N135+E226,2.653456211090088
50,pcu+N49+E138,4.668197154998779
51,pcu+N49+E212,3.484346628189087
52,pcu+N49+E217,4.335503101348877
53,pcu+N667+E51,5.726231575012207
54,pcu+N123+E226,4.5314040184021
55,pcu+N475+E108,2.9675731658935547
56,pcu+N135+E51,3.648160457611084
57,pcu+N65+E226,3.702202320098877
58,pcu+N634+E165,4.311860084533691
59,pcu+N144+E226,3.9909873008728027
60,pcu+N135+E165,4.565179824829102
61,pcu+N146+E226,5.51513147354126
62,pcu+N634+E115,3.967344284057617
63,pcu+N49+E51,3.2344040870666504
64,pcu+N101+E226,3.945389747619629
65,pcu+N182+E115,4.12946891784668
66,pcu+N576+E226,5.482199668884277
67,pcu+N622+E226,4.473984718322754
68,pcu+N567+E226,4.636109828948975
69,pcu+N139+E226,4.742504119873047
70,pcu+N634+E67,5.1427507400512695
71,pcu+N379+E51,6.142943859100342
72,pcu+N309+E51,7.853278160095215
73,pcu+N341+E51,6.841263294219971
74,pcu+N49+E67,4.305104732513428
75,pcu+N41+E226,5.262655258178711
76,pcu+N106+E51,6.202474117279053
77,pcu+N394+E51,6.161520481109619
78,pcu+N49+E115,3.707268714904785
79,pcu+N290+E115,6.170808792114258
80,pcu+N139+E67,6.025149822235107
81,pcu+N505+E67,6.301057815551758
82,pcu+N324+E51,5.190036773681641
83,pcu+N264+E226,3.747799873352051
84,pcu+N77+E226,4.284838676452637
85,pcu+N240+E226,5.317541599273682
86,pcu+N135+E115,3.724156618118286
0,dia+N215+E226,8.714567184448242
1,dia+N184+E226,12.485662460327148
2,dia+N310+E226,8.733144760131836
3,dia+N627+E212,12.131013870239258
4,dia+N109+E212,8.837849617004395
5,dia+N34+E226,11.259592056274414
6,dia+N310+E50,10.408435821533203
7,dia+N649+E226,8.795629501342773
8,dia+N434+E226,7.811058044433594
9,dia+N398+E212,14.245394706726074
10,dia+N346+E226,8.932422637939453
11,dia+N697+E226,9.168855667114258
12,dia+N492+E226,6.844851970672607
13,dia+N238+E226,7.22251033782959
14,dia+N385+E84,10.891433715820312
15,dia+N649+E162,10.925209045410156
16,dia+N346+E212,13.279399871826172
17,dia+N109+E226,7.17100191116333
18,dia+N307+E226,10.24631118774414
19,dia+N461+E226,9.096237182617188
20,dia+N385+E226,7.781504154205322
21,dia+N627+E226,9.013484954833984
22,dia+N113+E226,7.744350433349609
23,dia+N371+E226,8.628438949584961
24,dia+N164+E226,8.52204418182373
25,dia+N73+E212,15.576170921325684
26,dia+N156+E226,8.579463005065918
0,cds+N420+E95,7.016687870025635
1,cds+N581+E67,7.653999328613281
2,cds+N276+E89,5.101374626159668
3,cds+N409+E89,5.000891208648682
4,cds+N136+E165,5.905666828155518
5,cds+N409+E71,7.303150653839111
6,cds+N276+E71,6.3616437911987305
7,cds+N193+E89,7.370702743530273
8,cds+N623+E95,8.03060245513916
9,cds+N17+E71,7.110416412353516
10,cds+N29+E95,6.459383010864258
11,cds+N210+E89,6.861423492431641
12,cds+N409+E95,6.507830619812012
13,cds+N688+E95,4.256129264831543
14,cds+N87+E89,5.425624847412109
15,cds+N539+E95,8.49333381652832
16,cds+N282+E89,2.785182476043701
17,cds+N282+E128,4.835388660430908
18,cds+N688+E50,2.457554817199707
19,cds+N17+E50,7.3251051902771
20,cds+N688+E102,3.3492424488067627
21,cds+N282+E67,5.834315299987793
22,cds+N136+E102,4.897874355316162
23,cds+N581+E89,5.621525764465332
24,cds+N282+E206,3.913302421569824
25,cds+N282+E50,4.271328926086426
26,cds+N282+E115,3.9352569580078125
27,cds+N210+E71,7.7823486328125
28,cds+N448+E95,7.664132118225098
29,cds+N136+E71,5.688233852386475
30,cds+N29+E50,6.864590167999268
31,cds+N87+E50,4.685085296630859
32,cds+N688+E206,4.4638519287109375
33,cds+N688+E67,4.42838716506958
34,cds+N547+E71,7.790792465209961
35,cds+N282+E102,4.110892295837402
36,cds+N688+E115,4.230797290802002
37,cds+N282+E95,4.511138439178467
38,cds+N17+E67,6.571266174316406
39,cds+N417+E50,7.442477226257324
40,cds+N688+E173,4.048406600952148
41,cds+N317+E71,7.010143756866455
42,cds+N688+E89,4.801612377166748
43,cds+N581+E71,6.822475433349609
44,cds+N282+E71,4.4098100662231445
45,cds+N355+E89,5.0633769035339355
46,cds+N420+E71,7.13638162612915
47,cds+N136+E50,5.5159759521484375
48,cds+N688+E71,4.0906267166137695
49,cds+N409+E67,7.238554000854492
50,cds+N29+E71,6.719801425933838
51,cds+N688+E48,4.087248802185059
52,cds+N355+E95,5.618992805480957
53,cds+N282+E165,3.911613702774048
54,cds+N87+E71,6.356366157531738
55,cds+N210+E67,7.023443222045898
56,cds+N136+E67,14.91416072845459
57,cds+N688+E165,4.636109828948975
58,cds+N624+E71,6.80569314956665
59,cds+N276+E165,4.970492839813232
60,cds+N87+E67,6.25482702255249
61,cds+N17+E89,4.97640323638916
62,cds+N136+E89,4.342258453369141
0,srs+N621+E216,16.109832763671875
1,srs+N579+E212,19.223983764648438
