,cif_id,hydrogen_uptake_100bar_77K
0,pcu+N250+E64,534.3466796875
1,pcu+N308+E146,558.0676879882812
2,pcu+N373+E15,517.7730102539062
3,pcu+N139+E31,530.8738403320312
4,pcu+N205+E2,493.4939270019531
5,pcu+N691+E151,542.1607055664062
6,pcu+N668+E51,498.7109680175781
7,pcu+N30+E3,496.19158935546875
8,pcu+N65+E6,524.6412353515625
9,pcu+N438+E98,562.2847290039062
10,pcu+N180+E36,496.7497253417969
11,pcu+N694+E20,499.12957763671875
12,pcu+N590+E82,503.625732421875
13,pcu+N483+E178,523.5249633789062
14,pcu+N314+E1,472.6644287109375
15,pcu+N598+E173,575.6801147460938
16,pcu+N116+E4,530.6567993164062
17,pcu+N274+E141,506.03656005859375
18,pcu+N552+E108,523.8970947265625
19,pcu+N30+E64,481.65667724609375
20,pcu+N475+E97,530.8738403320312
21,pcu+N509+E73,528.5482177734375
22,pcu+N30+E2,467.6799011230469
23,pcu+N55+E106,458.4705810546875
24,pcu+N33+E220,576.734375
25,pcu+N162+E203,502.3388977050781
26,pcu+N475+E69,330.0982360839844
27,pcu+N486+E12,483.40087890625
28,pcu+N394+E131,475.4861145019531
29,pcu+N274+E72,604.2073364257812
30,pcu+N264+E28,491.7594299316406
31,pcu+N234+E48,576.486328125
32,pcu+N691+E171,515.4319458007812
33,pcu+N30+E52,489.22259521484375
34,pcu+N265+E106,493.1993408203125
35,pcu+N493+E6,530.9668579101562
36,pcu+N108+E82,513.02880859375
37,pcu+N529+E212,534.9978637695312
38,pcu+N646+E43,513.6954956054688
39,pcu+N608+E159,512.6412353515625
40,pcu+N101+E205,447.89691162109375
41,pcu+N691+E141,574.9359130859375
42,pcu+N518+E52,535.5250244140625
43,pcu+N694+E33,505.1838684082031
44,pcu+N41+E4,562.5328369140625
45,pcu+N341+E25,530.315673828125
46,pcu+N680+E216,570.6568603515625
47,pcu+N55+E180,569.4165649414062
48,pcu+N167+E121,481.64117431640625
49,pcu+N220+E106,503.2768859863281
50,pcu+N657+E161,458.51708984375
51,pcu+N486+E45,556.0831909179688
52,pcu+N678+E47,476.73419189453125
53,pcu+N152+E226,381.63323974609375
54,pcu+N379+E198,509.9900817871094
55,pcu+N205+E91,514.5482177734375
56,pcu+N666+E196,475.4163513183594
57,pcu+N540+E161,466.238037109375
58,pcu+N334+E12,507.95904541015625
59,pcu+N65+E38,548.8583984375
60,pcu+N480+E141,572.083251953125
61,pcu+N384+E33,511.71099853515625
62,pcu+N341+E95,528.7963256835938
63,pcu+N674+E151,516.3931884765625
64,pcu+N425+E106,490.3582458496094
65,pcu+N41+E78,551.8661499023438
66,pcu+N146+E136,571.8971557617188
67,pcu+N394+E36,501.8272705078125
68,pcu+N643+E205,459.09075927734375
69,pcu+N373+E87,513.6334838867188
70,pcu+N668+E67,540.8273315429688
71,pcu+N394+E64,516.9202880859375
72,pcu+N694+E226,430.00543212890625
73,pcu+N180+E170,519.7420043945312
74,pcu+N221+E88,544.2072143554688
75,pcu+N392+E118,513.0908813476562
76,pcu+N628+E126,513.9125366210938
77,pcu+N595+E198,509.0288391113281
78,pcu+N577+E57,559.0599365234375
79,pcu+N613+E64,474.3543395996094
80,pcu+N30+E83,486.11016845703125
81,pcu+N560+E198,509.55596923828125
82,pcu+N334+E6,520.7652587890625
83,pcu+N509+E114,541.66455078125
84,pcu+N182+E167,340.392822265625
85,pcu+N467+E152,509.1683654785156
86,pcu+N568+E126,515.3234252929688
87,pcu+N182+E33,512.0520629882812
88,pcu+N77+E69,492.7342224121094
89,pcu+N568+E47,520.2071533203125
90,pcu+N518+E2,472.3853454589844
91,pcu+N101+E89,311.2454833984375
92,pcu+N240+E69,427.8038635253906
93,pcu+N341+E180,520.9823608398438
94,pcu+N59+E25,539.0598754882812
95,pcu+N274+E34,511.75750732421875
96,pcu+N135+E2,505.4629211425781
97,pcu+N465+E222,559.8661499023438
0,dia+N346+E158,525.8505859375
1,dia+N113+E184,564.517333984375
2,dia+N2+E34,416.67205810546875
3,dia+N649+E68,486.43865966796875
4,dia+N520+E206,514.7962646484375
5,dia+N515+E115,535.4940185546875
6,dia+N708+E219,448.3620300292969
7,dia+N34+E158,540.5172729492188
8,dia+N461+E156,517.5404663085938
9,dia+N158+E188,437.3542785644531
10,dia+N188+E158,503.71099853515625
