,cif_id,oxygen_uptake_1bar_298K
0,pcu+N428+E19,0.052800774574279785
1,pcu+N373+E219,0.09469336271286011
2,pcu+N428+E45,0.039150387048721313
3,pcu+N41+E38,0.10622557997703552
4,pcu+N576+E212,0.06974610686302185
5,pcu+N308+E37,0.08928027749061584
6,pcu+N428+E37,0.04903516173362732
7,pcu+N123+E212,0.18989306688308716
8,pcu+N667+E38,0.0619795024394989
9,pcu+N453+E37,0.10340136289596558
10,pcu+N41+E212,0.075865238904953
11,pcu+N493+E37,0.12246483564376831
12,pcu+N30+E212,0.015379875898361206
13,pcu+N324+E38,0.1158750057220459
14,pcu+N250+E38,0.10999122262001038
15,pcu+N667+E37,0.07751268148422241
16,pcu+N373+E88,0.06786328554153442
17,pcu+N518+E37,0.10834375023841858
18,pcu+N428+E212,0.05680176615715027
19,pcu+N428+E142,0.06668651103973389
20,pcu+N324+E37,0.15459032356739044
21,pcu+N373+E130,0.11163866519927979
22,pcu+N220+E37,0.09210449457168579
23,pcu+N576+E38,0.09892967343330383
24,pcu+N152+E38,0.09233984351158142
25,pcu+N425+E37,0.08504393696784973
26,pcu+N453+E38,0.07115820050239563
27,pcu+N65+E37,0.10081249475479126
28,pcu+N221+E38,0.09210449457168579
29,pcu+N529+E212,0.23778711259365082
30,pcu+N308+E212,0.13988085091114044
31,pcu+N373+E11,0.0848085880279541
32,pcu+N144+E38,0.09186914563179016
33,pcu+N373+E38,0.08551463484764099
34,pcu+N152+E37,0.07610058784484863
35,pcu+N144+E37,0.06715723872184753
36,pcu+N476+E37,0.06503906846046448
37,pcu+N30+E37,0.030913084745407104
38,pcu+N667+E212,0.13023144006729126
39,pcu+N428+E78,0.053036123514175415
40,pcu+N428+E185,0.04268065094947815
41,pcu+N139+E38,0.11352148652076721
42,pcu+N65+E38,0.10575488209724426
43,pcu+N77+E212,0.10834375023841858
44,pcu+N221+E37,0.06880468130111694
45,pcu+N428+E168,0.08033689856529236
46,pcu+N568+E212,0.14082226157188416
47,pcu+N205+E212,0.22884374856948853
48,pcu+N394+E37,0.09987109899520874
49,pcu+N674+E38,0.07068750262260437
50,pcu+N467+E212,0.1339970827102661
51,pcu+N373+E205,0.12764257192611694
52,pcu+N674+E37,0.03703221678733826
53,pcu+N567+E212,0.18165576457977295
54,pcu+N428+E38,0.024558603763580322
55,pcu+N41+E37,0.06221485137939453
56,pcu+N493+E38,0.07821875810623169
57,pcu+N139+E37,0.08998632431030273
58,pcu+N476+E212,0.051388680934906006
59,pcu+N373+E212,0.028088867664337158
60,pcu+N576+E37,0.05068260431289673
61,pcu+N622+E212,0.17047655582427979
62,pcu+N428+E16,0.10551953315734863
