,cif_id,thermal_stability
0,pcu+N308+E205,364.7696228027344
1,pcu+N379+E205,330.5997619628906
2,pcu+N659+E205,424.65966796875
3,pcu+N106+E168,499.4429016113281
4,pcu+N505+E205,351.291015625
5,pcu+N221+E106,385.99871826171875
6,pcu+N155+E205,448.23919677734375
7,pcu+N691+E106,389.9788513183594
8,pcu+N274+E106,379.54449462890625
9,pcu+N509+E106,381.9540710449219
10,pcu+N406+E167,457.9635925292969
11,pcu+N37+E205,325.3072814941406
12,pcu+N634+E168,400.499267578125
13,pcu+N182+E168,414.54803466796875
14,pcu+N442+E205,405.55511474609375
15,pcu+N221+E205,366.44775390625
16,pcu+N505+E106,401.1016845703125
17,pcu+N442+E106,394.3031921386719
18,pcu+N529+E106,372.45556640625
19,pcu+N146+E205,399.789306640625
20,pcu+N379+E106,376.10223388671875
21,pcu+N106+E205,364.3151550292969
22,pcu+N394+E168,433.0932312011719
23,pcu+N634+E106,416.2691650390625
24,pcu+N384+E106,308.56927490234375
25,pcu+N205+E106,409.08343505859375
26,pcu+N123+E106,380.5448913574219
27,pcu+N220+E106,402.1988830566406
28,pcu+N659+E168,435.0725402832031
29,pcu+N16+E205,323.1773681640625
30,pcu+N394+E106,395.4004211425781
31,pcu+N382+E106,340.57159423828125
32,pcu+N155+E106,374.56396484375
33,pcu+N106+E106,404.41485595703125
34,pcu+N406+E106,379.54449462890625
35,pcu+N123+E167,390.1079406738281
36,pcu+N250+E106,361.2420349121094
37,pcu+N425+E106,396.605224609375
38,pcu+N182+E106,376.166748046875
39,pcu+N37+E218,456.1564025878906
40,pcu+N248+E106,377.7695617675781
41,pcu+N382+E205,354.33526611328125
42,pcu+N425+E218,440.9674072265625
43,pcu+N248+E205,381.5238037109375
44,pcu+N264+E205,403.661865234375
45,pcu+N628+E205,379.5767517089844
46,pcu+N509+E205,460.459228515625
47,pcu+N628+E106,357.60540771484375
48,pcu+N152+E106,357.9765319824219
49,pcu+N634+E205,395.4649658203125
50,pcu+N65+E106,373.2731018066406
51,pcu+N205+E167,338.55999755859375
52,pcu+N264+E106,389.9788513183594
53,pcu+N16+E106,396.64825439453125
54,pcu+N306+E106,386.42901611328125
