,cif_id,oxygen_uptake_1bar_298K
0,pcu+N373+E182,0.038915038108825684
1,pcu+N428+E45,0.03962108492851257
2,pcu+N428+E37,0.04950585961341858
3,pcu+N428+E151,0.05491894483566284
4,pcu+N30+E10,0.10057714581489563
5,pcu+N373+E27,0.08457323908805847
6,pcu+N428+E53,0.0709228515625
7,pcu+N373+E22,0.08880957961082458
8,pcu+N30+E142,0.09845897555351257
9,pcu+N30+E212,0.01255565881729126
10,pcu+N428+E194,0.017498046159744263
11,pcu+N373+E45,0.0553896427154541
12,pcu+N428+E205,0.05750781297683716
13,pcu+N373+E88,0.0692753791809082
14,pcu+N428+E212,0.05586034059524536
15,pcu+N428+E142,0.06645116209983826
16,pcu+N30+E183,0.08410254120826721
17,pcu+N373+E8,0.0937519371509552
18,pcu+N428+E199,0.04927051067352295
19,pcu+N373+E19,0.05844920873641968
20,pcu+N373+E14,0.052565425634384155
21,pcu+N428+E8,0.0504472553730011
22,pcu+N30+E24,0.11210936307907104
23,pcu+N30+E158,0.031148433685302734
24,pcu+N428+E123,0.061508774757385254
25,pcu+N30+E88,0.046446293592453
26,pcu+N30+E45,0.061273425817489624
27,pcu+N373+E38,0.08269041776657104
28,pcu+N30+E37,0.03491407632827759
29,pcu+N30+E27,0.051859378814697266
30,pcu+N373+E142,0.11187401413917542
31,pcu+N428+E130,0.038915038108825684
32,pcu+N30+E73,0.052800774574279785
33,pcu+N428+E14,0.06433302164077759
34,pcu+N428+E168,0.08057227730751038
35,pcu+N30+E185,0.04103320837020874
36,pcu+N428+E44,0.0431513786315918
37,pcu+N30+E203,0.1274072229862213
38,pcu+N30+E16,0.03585547208786011
39,pcu+N30+E42,0.11446288228034973
40,pcu+N373+E185,0.04762303829193115
41,pcu+N373+E9,0.06668651103973389
42,pcu+N30+E22,0.08339649438858032
43,pcu+N373+E66,0.05844920873641968
44,pcu+N428+E38,0.025499999523162842
45,pcu+N373+E212,0.028324216604232788
46,pcu+N30+E11,0.12952539324760437
47,pcu+N428+E50,0.06409764289855957
48,pcu+N30+E19,0.029971688985824585
49,pcu+N373+E131,0.07633593678474426
50,pcu+N428+E94,0.051859378814697266
51,pcu+N373+E44,0.0848085880279541
52,pcu+N428+E15,0.05891990661621094
53,pcu+N373+E37,0.04338672757148743
54,pcu+N428+E127,0.031383782625198364
55,pcu+N373+E220,0.06550976634025574
56,pcu+N30+E78,0.12152343988418579
57,pcu+N30+E38,0.07374706864356995
58,pcu+N428+E24,0.053271472454071045
0,dia+N649+E50,0.07633593678474426
1,dia+N395+E85,0.03938573598861694
2,dia+N385+E19,0.0798662006855011
3,dia+N395+E177,0.032089829444885254
4,dia+N346+E33,0.1109326183795929
5,dia+N395+E147,0.059155285358428955
6,dia+N115+E50,0.08504393696784973
7,dia+N73+E50,0.1019892692565918
8,dia+N395+E119,0.051388680934906006
9,dia+N346+E127,0.08551463484764099
10,dia+N395+E156,0.05091795325279236
11,dia+N395+E142,0.04974120855331421
