,cif_id,thermal_stability
0,pcu+N678+E87,302.84649658203125
1,pcu+N691+E107,435.6749267578125
2,pcu+N608+E5,334.6444396972656
3,pcu+N373+E47,401.7040710449219
4,pcu+N183+E134,363.3080139160156
5,pcu+N289+E28,414.6771240234375
6,pcu+N250+E222,306.7620849609375
7,pcu+N289+E34,407.2762451171875
8,pcu+N504+E139,343.2716064453125
9,pcu+N30+E114,355.5508117675781
10,pcu+N555+E90,377.5974426269531
11,pcu+N167+E2,369.1639099121094
12,pcu+N234+E155,307.4505310058594
13,pcu+N144+E28,382.36285400390625
14,pcu+N180+E232,299.92059326171875
15,pcu+N65+E67,393.3780822753906
16,pcu+N334+E121,369.3736572265625
17,pcu+N205+E12,395.0131530761719
18,pcu+N394+E66,368.4593200683594
19,pcu+N49+E10,377.565185546875
20,pcu+N240+E90,339.7217712402344
21,pcu+N556+E187,331.50335693359375
22,pcu+N657+E122,346.875244140625
23,pcu+N162+E13,340.14129638671875
24,pcu+N36+E57,307.4935607910156
25,pcu+N577+E68,390.1724853515625
26,pcu+N425+E113,386.9453430175781
27,pcu+N668+E196,299.40423583984375
28,pcu+N489+E187,333.8484191894531
29,pcu+N341+E57,318.70245361328125
30,pcu+N183+E216,307.1063232421875
31,pcu+N384+E96,318.10003662109375
32,pcu+N668+E181,290.2822265625
33,pcu+N612+E131,338.6245422363281
34,pcu+N521+E216,332.8802795410156
35,pcu+N148+E182,235.1629638671875
36,pcu+N447+E184,335.6125793457031
37,pcu+N630+E166,306.331787109375
38,pcu+N556+E175,334.2571716308594
39,pcu+N173+E201,329.5025634765625
40,pcu+N135+E34,368.80352783203125
41,pcu+N250+E25,394.7550048828125
42,pcu+N309+E190,338.5169677734375
43,pcu+N668+E188,345.0142517089844
44,pcu+N240+E2,374.1444396972656
45,pcu+N295+E215,291.4870300292969
46,pcu+N576+E193,359.9302978515625
47,pcu+N508+E159,305.7294006347656
48,pcu+N453+E78,323.1343688964844
49,pcu+N152+E71,353.6091613769531
50,pcu+N392+E220,342.7337646484375
51,pcu+N274+E163,358.8828125
52,pcu+N483+E88,330.0619201660156
53,pcu+N491+E152,377.8341064453125
54,pcu+N394+E115,380.8138122558594
55,pcu+N560+E171,330.96551513671875
56,pcu+N504+E83,326.59814453125
57,pcu+N489+E104,324.0594482421875
58,pcu+N116+E69,378.23211669921875
59,pcu+N222+E171,317.1749267578125
60,pcu+N328+E159,312.9581604003906
61,pcu+N33+E116,402.5431213378906
62,pcu+N30+E4,338.36639404296875
63,pcu+N494+E9,370.2234802246094
64,pcu+N59+E128,366.8672790527344
65,pcu+N691+E225,400.80047607421875
66,pcu+N162+E83,343.1963195800781
67,pcu+N555+E179,358.8424987792969
68,pcu+N630+E71,321.97259521484375
69,pcu+N314+E174,329.244384765625
70,pcu+N264+E40,386.7947692871094
71,pcu+N480+E38,317.9494323730469
72,pcu+N148+E190,298.7588195800781
73,pcu+N49+E184,332.7081604003906
74,pcu+N139+E91,344.2074890136719
75,pcu+N690+E215,384.40667724609375
76,pcu+N465+E80,392.560546875
77,pcu+N274+E203,374.8113708496094
78,pcu+N576+E26,313.388427734375
79,pcu+N65+E131,359.9087829589844
80,pcu+N41+E234,365.216064453125
81,pcu+N552+E34,275.95379638671875
82,pcu+N590+E108,388.19317626953125
83,pcu+N214+E158,282.6662292480469
84,pcu+N222+E17,370.2288513183594
85,pcu+N314+E82,327.60931396484375
86,pcu+N274+E28,420.1416931152344
87,pcu+N548+E198,295.9189453125
88,pcu+N453+E43,340.9588317871094
89,pcu+N612+E223,369.1692810058594
90,pcu+N314+E163,321.9295654296875
91,pcu+N180+E206,341.249267578125
92,pcu+N394+E1,442.473388671875
93,pcu+N613+E52,340.14129638671875
94,pcu+N438+E220,340.3779602050781
95,pcu+N55+E219,329.02923583984375
96,pcu+N143+E215,301.4696044921875
97,pcu+N691+E218,436.8797302246094
98,pcu+N264+E131,361.89715576171875
99,pcu+N576+E212,313.0011901855469
100,pcu+N613+E107,339.96917724609375
101,pcu+N574+E42,365.1676330566406
102,pcu+N521+E5,367.7170715332031
103,pcu+N382+E102,342.2174072265625
104,pcu+N101+E28,342.6692199707031
105,pcu+N678+E95,310.16131591796875
106,pcu+N33+E89,348.5640869140625
107,pcu+N250+E220,358.885498046875
108,pcu+N613+E118,350.59716796875
109,pcu+N33+E233,334.3432312011719
110,pcu+N529+E64,359.4179992675781
111,pcu+N509+E212,361.93145751953125
112,pcu+N152+E167,424.4445495605469
113,pcu+N486+E114,291.0567321777344
114,pcu+N265+E68,402.4140319824219
115,pcu+N37+E186,385.7405700683594
116,pcu+N465+E211,330.1479797363281
117,pcu+N334+E98,344.3150329589844
118,pcu+N167+E95,292.218505859375
119,pcu+N289+E149,366.9049072265625
120,pcu+N290+E132,366.9748229980469
121,pcu+N33+E73,328.2117004394531
122,pcu+N334+E39,404.07061767578125
123,pcu+N486+E137,319.6275634765625
124,pcu+N442+E115,295.70379638671875
125,pcu+N328+E1,399.74627685546875
126,pcu+N162+E34,339.77557373046875
127,pcu+N105+E50,309.2146911621094
128,pcu+N135+E155,336.5807189941406
129,pcu+N108+E71,299.74847412109375
130,pcu+N569+E128,323.435546875
131,pcu+N173+E70,369.8684997558594
132,pcu+N339+E150,411.2778625488281
133,pcu+N667+E16,355.4163513183594
134,pcu+N568+E102,317.21795654296875
135,pcu+N406+E216,388.66650390625
136,pcu+N555+E47,408.7822265625
137,pcu+N613+E134,309.3437805175781
138,pcu+N560+E12,374.70379638671875
139,pcu+N509+E68,348.6716613769531
140,pcu+N77+E228,377.5544128417969
141,pcu+N442+E98,358.21319580078125
142,pcu+N593+E159,307.5796203613281
143,pcu+N222+E177,325.006103515625
144,pcu+N54+E178,297.64007568359375
145,pcu+N428+E151,336.25799560546875
146,pcu+N691+E61,375.1233215332031
