,cif_id,nitrogen_uptake_1bar_298K
0,pcu+N521+E201,0.2075401246547699
1,pcu+N613+E201,0.2597027122974396
2,pcu+N442+E201,0.3353137969970703
3,pcu+N483+E113,0.2256406992673874
4,pcu+N180+E67,0.19816072285175323
5,pcu+N678+E201,0.2264634668827057
6,pcu+N85+E201,0.22004598379135132
7,pcu+N384+E188,0.22317244112491608
8,pcu+N41+E188,0.36028438806533813
9,pcu+N250+E115,0.2465386539697647
10,pcu+N274+E77,0.28668904304504395
11,pcu+N694+E201,0.2151094526052475
12,pcu+N289+E188,0.2901446223258972
13,pcu+N691+E76,0.31211215257644653
14,pcu+N311+E63,0.3553889989852905
15,pcu+N234+E135,0.2524624764919281
16,pcu+N336+E188,0.21955232322216034
17,pcu+N49+E97,0.16228865087032318
18,pcu+N634+E201,0.27072763442993164
19,pcu+N613+E89,0.34843674302101135
20,pcu+N49+E218,0.1366187334060669
21,pcu+N555+E232,0.28208163380622864
22,pcu+N274+E201,0.22070418298244476
23,pcu+N442+E188,0.38488471508026123
24,pcu+N559+E188,0.25344979763031006
25,pcu+N234+E201,0.26340511441230774
26,pcu+N85+E77,0.2595381736755371
27,pcu+N425+E228,0.36785373091697693
28,pcu+N569+E190,0.2088565230369568
29,pcu+N691+E201,0.26834163069725037
30,pcu+N425+E187,0.33732956647872925
31,pcu+N250+E188,0.28479671478271484
32,pcu+N568+E185,0.1685415804386139
33,pcu+N85+E178,0.22366610169410706
34,pcu+N384+E153,0.21362850069999695
35,pcu+N180+E183,0.2037554532289505
36,pcu+N574+E76,0.23181135952472687
37,pcu+N560+E77,0.17742732167243958
38,pcu+N555+E77,0.3168841004371643
39,pcu+N382+E220,0.11950543522834778
40,pcu+N598+E89,0.38227248191833496
41,pcu+N425+E201,0.2523801922798157
42,pcu+N314+E188,0.2175777107477188
43,pcu+N555+E71,0.38630399107933044
44,pcu+N220+E77,0.3273742198944092
45,pcu+N106+E188,0.25690537691116333
46,pcu+N394+E136,0.30594149231910706
47,pcu+N598+E188,0.20013533532619476
48,pcu+N49+E201,0.2362542301416397
49,pcu+N314+E165,0.2697403132915497
50,pcu+N394+E77,0.39794594049453735
51,pcu+N328+E188,0.2857017517089844
52,pcu+N183+E25,0.1769336760044098
53,pcu+N613+E1,0.21017293632030487
54,pcu+N489+E201,0.26505061984062195
55,pcu+N213+E201,0.22695711255073547
56,pcu+N240+E188,0.23008356988430023
57,pcu+N555+E188,0.29944172501564026
58,pcu+N33+E186,0.13332772254943848
59,pcu+N691+E188,0.36929354071617126
60,pcu+N559+E77,0.25320297479629517
61,pcu+N33+E77,0.2243243008852005
62,pcu+N425+E204,0.323589563369751
63,pcu+N135+E188,0.1945406049489975
64,pcu+N678+E118,0.2476082295179367
65,pcu+N309+E188,0.1441880762577057
66,pcu+N521+E190,0.24291853606700897
67,pcu+N41+E201,0.2499942183494568
68,pcu+N54+E84,0.3471614718437195
69,pcu+N442+E47,0.22021052241325378
70,pcu+N678+E139,0.24077938497066498
